word,n_char,n_vowels
a,1,1
aa,2,2
aa,2,2
aaa,3,3
aalborski,9,4
aaronowy,8,5
aba,3,2
abachit,7,3
abadanka,8,4
abadańczyk,10,4
abadański,9,4
abadyci,7,4
abaja,5,3
abak,4,2
abaka,5,3
abakan,6,3
abakanka,8,4
abakańczyk,10,4
abakański,9,4
abakańskość,11,4
abakus,6,3
abalietas,9,4
abandon,7,3
abat,4,2
abatysa,7,4
abazja,6,3
abazyński,9,4
abażur,6,3
abażurek,8,4
abażurowy,9,5
abba,4,2
abbandonasi,11,5
abbandonatamente,16,7
abbé,4,1
abbozzo,7,3
abbreviatura,12,5
abbuś,5,2
abc,3,1
abchaski,8,3
abchaskość,10,3
abcug,5,2
abderycki,9,4
abderyckość,11,4
abderyta,8,4
abderytka,9,4
abditorium,10,4
abdomen,7,3
abdominalny,11,5
abdominoplastyka,16,7
abdukcja,8,3
abduktor,8,3
abdul,5,2
abdykacja,9,4
abdykacyjny,11,5
abdykować,9,4
abecadło,8,4
abecadłowy,10,5
abecedariusz,12,5
abelit,6,3
abelita,7,4
abelizaur,9,5
abelizaury,10,6
abelowy,7,4
aberracja,9,4
aberracyjny,11,5
aberroskop,10,4
abewilski,9,4
abherenty,9,4
abhezyjny,9,4
abidżanka,9,4
abidżańczyk,11,4
abidżański,10,4
abidżańskość,12,4
abietyna,8,4
abietynowy,10,5
abiogeneza,10,5
abiogenny,9,4
abiologia,9,5
abiologiczny,12,5
abioseston,10,4
abiotyczny,10,4
abioza,6,3
abisal,6,3
abisalny,8,4
abisobental,11,5
abisobiont,10,4
abisofil,8,4
abisopelagial,13,6
abisynka,8,4
abisyńczyk,10,4
abisyński,9,4
abisyńskość,11,4
abitella,8,4
abiturient,10,4
abiturientka,12,5
abituryna,9,5
abiudykacja,11,5
abiuracja,9,4
ablacja,7,3
ablacyjny,9,4
ablaktacja,10,4
ablaktować,10,4
ablaktowalny,12,5
ablativus,9,4
ablatiwus,9,4
ablatyw,7,3
ablatywny,9,4
ablegat,7,3
ablegier,8,3
ablegrować,10,4
ablucja,7,3
ablucje,7,3
ablutofobia,11,5
ablutomania,11,5
abnegacja,9,4
abnegacki,9,4
abnegackość,11,4
abnegat,7,3
abnegatka,9,4
abo,3,2
abobra,6,3
abolicja,8,4
abolicjonista,13,6
abolicjonistka,14,6
abolicjonistyczny,17,7
abolicjonizm,12,5
abolicyjny,10,5
abominacja,10,5
abominacyjny,12,6
abonament,9,4
abonamentowy,12,6
abonencki,9,4
abonenckość,11,4
abonent,7,3
abonentka,9,4
abonować,8,4
aborcja,7,3
aborcjonalista,14,6
aborcjonista,12,5
aborcjonistka,13,5
aborcjonistyczny,16,6
aborcyjny,9,4
abordaż,7,3
abordażować,11,5
abordażowy,10,5
abort,5,2
aborter,7,3
aborterka,9,4
abortować,9,4
abortus,7,3
aborygen,8,4
aborygenka,10,5
aborygeński,11,5
aborygeńskość,13,5
abozzo,6,3
abp,3,1
abpstwo,7,2
abradować,9,4
abrahamowy,10,5
abrakadabra,11,5
abrakadabra,11,5
abraksas,8,3
abramowski,10,4
abramowskość,12,4
abraxas,7,3
abrazja,7,3
abrazo,6,3
abrazyjny,9,4
abrewiacja,10,4
abrewiacyjny,12,5
abrewiator,10,4
abrewiatura,11,5
abrewiaturalny,14,6
abrewiologia,12,6
abricoter,9,4
abrogacja,9,4
