Source,Target,Weight,Type
krasiński_Błękit duszy.,krasiński_Nowe życie.,3,undirected
krasiński_Błękit duszy.,mickiewicz_Sonety krymskie III.,1,undirected
krasiński_Błękit duszy.,mickiewicz_Sonety XVII.,2,undirected
krasiński_Boleść rozłączenia.,krasiński_Nowe życie.,3,undirected
krasiński_Boleść rozłączenia.,mickiewicz_Sonety krymskie III.,1,undirected
krasiński_Boleść rozłączenia.,mickiewicz_Sonety XVII.,2,undirected
krasiński_Co mi się marzy?,krasiński_Nowe życie.,3,undirected
krasiński_Co mi się marzy?,mickiewicz_Sonety XIII.,2,undirected
krasiński_Co mi się marzy?,mickiewicz_Sonety XVI.,1,undirected
krasiński_Czas i wieczność.,krasiński_Nowe życie.,3,undirected
krasiński_Czas i wieczność.,mickiewicz_Sonety krymskie III.,1,undirected
krasiński_Czas i wieczność.,mickiewicz_Sonety XVII.,2,undirected
krasiński_Do Duchów.,krasiński_Nowe życie.,3,undirected
krasiński_Do Duchów.,mickiewicz_Sonety krymskie III.,1,undirected
krasiński_Do Duchów.,mickiewicz_Sonety XVII.,2,undirected
krasiński_Do Pani D. P.[*],krasiński_Nowe życie.,3,undirected
krasiński_Do Pani D. P.[*],mickiewicz_Sonety krymskie III.,1,undirected
krasiński_Do Pani D. P.[*],mickiewicz_Sonety XVII.,2,undirected
krasiński_Gdzie cisza?,krasiński_Nowe życie.,2,undirected
krasiński_Gdzie cisza?,mickiewicz_Sonety XVII.,1,undirected
krasiński_Gdzie cisza?,mickiewicz_Sonety XXI.,6,undirected
krasiński_Miłość ideału.,krasiński_Nowe życie.,3,undirected
krasiński_Miłość ideału.,mickiewicz_Sonety krymskie III.,1,undirected
krasiński_Miłość ideału.,mickiewicz_Sonety XVII.,2,undirected
krasiński_Nie wrócę już!,krasiński_Nowe życie.,3,undirected
krasiński_Nie wrócę już!,mickiewicz_Sonety krymskie III.,1,undirected
krasiński_Nie wrócę już!,mickiewicz_Sonety XVII.,2,undirected
krasiński_Niewymarzona, a cudowna.,krasiński_Nowe życie.,3,undirected
krasiński_Niewymarzona, a cudowna.,mickiewicz_Sonety krymskie III.,1,undirected
krasiński_Niewymarzona, a cudowna.,mickiewicz_Sonety XVII.,2,undirected
krasiński_Nowe życie.,krasiński_Błękit duszy.,3,undirected
krasiński_Nowe życie.,krasiński_Boleść rozłączenia.,3,undirected
krasiński_Nowe życie.,krasiński_Co mi się marzy?,3,undirected
krasiński_Nowe życie.,krasiński_Czas i wieczność.,3,undirected
krasiński_Nowe życie.,krasiński_Do Duchów.,3,undirected
krasiński_Nowe życie.,krasiński_Do Pani D. P.[*],3,undirected
krasiński_Nowe życie.,krasiński_Gdzie cisza?,2,undirected
krasiński_Nowe życie.,krasiński_Miłość ideału.,3,undirected
krasiński_Nowe życie.,krasiński_Nie wrócę już!,3,undirected
krasiński_Nowe życie.,krasiński_Niewymarzona, a cudowna.,3,undirected
krasiński_Nowe życie.,krasiński_Postanowienie.,3,undirected
krasiński_Nowe życie.,krasiński_Pożegnanie Italii.,2,undirected
krasiński_Nowe życie.,mickiewicz_Sonety I.,3,undirected
krasiński_Nowe życie.,mickiewicz_Sonety II.,2,undirected
krasiński_Nowe życie.,mickiewicz_Sonety III.,1,undirected
krasiński_Nowe życie.,mickiewicz_Sonety IX.,3,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie I.,3,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie III.,4,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie IV.,1,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie V.,1,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie VI.,4,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie VII.,2,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie VIII.,1,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie XI.,1,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie XII.,1,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie XIII.,2,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie XIV.,2,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie XVI.,1,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie XVII.,2,undirected
krasiński_Nowe życie.,mickiewicz_Sonety krymskie XVIII.,1,undirected
krasiński_Nowe życie.,mickiewicz_Sonety VI.,1,undirected
krasiński_Nowe życie.,mickiewicz_Sonety VII.,2,undirected
krasiński_Nowe życie.,mickiewicz_Sonety VIII.,3,undirected
krasiński_Nowe życie.,mickiewicz_Sonety X.,2,undirected
krasiński_Nowe życie.,mickiewicz_Sonety XI.,1,undirected
krasiński_Nowe życie.,mickiewicz_Sonety XII.,1,undirected
krasiński_Nowe życie.,mickiewicz_Sonety XIII.,2,undirected
krasiński_Nowe życie.,mickiewicz_Sonety XIV.,1,undirected
krasiński_Nowe życie.,mickiewicz_Sonety XV.,2,undirected
krasiński_Nowe życie.,mickiewicz_Sonety XVI.,2,undirected
krasiński_Nowe życie.,mickiewicz_Sonety XVII.,6,undirected
krasiński_Nowe życie.,mickiewicz_Sonety XVIII.,1,undirected
krasiński_Nowe życie.,mickiewicz_Sonety XX.,3,undirected
krasiński_Nowe życie.,mickiewicz_Sonety XXI.,2,undirected
krasiński_Postanowienie.,krasiński_Nowe życie.,3,undirected
krasiński_Postanowienie.,mickiewicz_Sonety krymskie III.,1,undirected
krasiński_Postanowienie.,mickiewicz_Sonety XVII.,2,undirected
krasiński_Pożegnanie Italii.,krasiński_Nowe życie.,2,undirected
krasiński_Pożegnanie Italii.,mickiewicz_Sonety I.,3,undirected
krasiński_Pożegnanie Italii.,mickiewicz_Sonety XVII.,1,undirected
mickiewicz_Sonety I.,krasiński_Nowe życie.,3,undirected
mickiewicz_Sonety I.,krasiński_Pożegnanie Italii.,3,undirected
mickiewicz_Sonety I.,mickiewicz_Sonety krymskie VII.,2,undirected
mickiewicz_Sonety I.,mickiewicz_Sonety XVII.,1,undirected
mickiewicz_Sonety II.,krasiński_Nowe życie.,2,undirected
mickiewicz_Sonety II.,mickiewicz_Sonety krymskie IX.,2,undirected
mickiewicz_Sonety II.,mickiewicz_Sonety krymskie V.,2,undirected
mickiewicz_Sonety II.,mickiewicz_Sonety krymskie XIV.,6,undirected
mickiewicz_Sonety II.,mickiewicz_Sonety XXII.,1,undirected
mickiewicz_Sonety III.,krasiński_Nowe życie.,1,undirected
mickiewicz_Sonety III.,mickiewicz_Sonety krymskie XVIII.,5,undirected
mickiewicz_Sonety III.,mickiewicz_Sonety XVIII.,3,undirected
mickiewicz_Sonety IV.,mickiewicz_Sonety krymskie II.,2,undirected
mickiewicz_Sonety IV.,mickiewicz_Sonety krymskie XV.,6,undirected
mickiewicz_Sonety IV.,mickiewicz_Sonety V.,4,undirected
mickiewicz_Sonety IX.,krasiński_Nowe życie.,3,undirected
mickiewicz_Sonety IX.,mickiewicz_Sonety krymskie III.,1,undirected
mickiewicz_Sonety IX.,mickiewicz_Sonety XVII.,2,undirected
mickiewicz_Sonety krymskie I.,krasiński_Nowe życie.,3,undirected
mickiewicz_Sonety krymskie I.,mickiewicz_Sonety krymskie III.,1,undirected
mickiewicz_Sonety krymskie I.,mickiewicz_Sonety XVII.,2,undirected
mickiewicz_Sonety krymskie II.,mickiewicz_Sonety IV.,2,undirected
mickiewicz_Sonety krymskie II.,mickiewicz_Sonety krymskie III.,6,undirected
mickiewicz_Sonety krymskie II.,mickiewicz_Sonety krymskie XV.,3,undirected
mickiewicz_Sonety krymskie III.,krasiński_Błękit duszy.,1,undirected
mickiewicz_Sonety krymskie III.,krasiński_Boleść rozłączenia.,1,undirected
mickiewicz_Sonety krymskie III.,krasiński_Czas i wieczność.,1,undirected
mickiewicz_Sonety krymskie III.,krasiński_Do Duchów.,1,undirected
mickiewicz_Sonety krymskie III.,krasiński_Do Pani D. P.[*],1,undirected
mickiewicz_Sonety krymskie III.,krasiński_Miłość ideału.,1,undirected
mickiewicz_Sonety krymskie III.,krasiński_Nie wrócę już!,1,undirected
mickiewicz_Sonety krymskie III.,krasiński_Niewymarzona, a cudowna.,1,undirected
mickiewicz_Sonety krymskie III.,krasiński_Nowe życie.,4,undirected
mickiewicz_Sonety krymskie III.,krasiński_Postanowienie.,1,undirected
mickiewicz_Sonety krymskie III.,mickiewicz_Sonety IX.,1,undirected
mickiewicz_Sonety krymskie III.,mickiewicz_Sonety krymskie I.,1,undirected
mickiewicz_Sonety krymskie III.,mickiewicz_Sonety krymskie II.,6,undirected
mickiewicz_Sonety krymskie III.,mickiewicz_Sonety krymskie VI.,1,undirected
mickiewicz_Sonety krymskie III.,mickiewicz_Sonety krymskie XV.,1,undirected
mickiewicz_Sonety krymskie III.,mickiewicz_Sonety V.,1,undirected
mickiewicz_Sonety krymskie III.,mickiewicz_Sonety VIII.,1,undirected
mickiewicz_Sonety krymskie III.,mickiewicz_Sonety XVII.,2,undirected
mickiewicz_Sonety krymskie III.,mickiewicz_Sonety XX.,1,undirected
mickiewicz_Sonety krymskie IV.,krasiński_Nowe życie.,1,undirected
mickiewicz_Sonety krymskie IV.,mickiewicz_Sonety krymskie XI.,5,undirected
mickiewicz_Sonety krymskie IV.,mickiewicz_Sonety krymskie XVI.,6,undirected
mickiewicz_Sonety krymskie IX.,mickiewicz_Sonety II.,2,undirected
mickiewicz_Sonety krymskie IX.,mickiewicz_Sonety XII.,5,undirected
mickiewicz_Sonety krymskie IX.,mickiewicz_Sonety XXII.,3,undirected
mickiewicz_Sonety krymskie V.,krasiński_Nowe życie.,1,undirected
mickiewicz_Sonety krymskie V.,mickiewicz_Sonety II.,2,undirected
mickiewicz_Sonety krymskie V.,mickiewicz_Sonety X.,6,undirected
mickiewicz_Sonety krymskie VI.,krasiński_Nowe życie.,4,undirected
mickiewicz_Sonety krymskie VI.,mickiewicz_Sonety krymskie III.,1,undirected
mickiewicz_Sonety krymskie VI.,mickiewicz_Sonety XI.,3,undirected
