Source,Target,Weight,Type
Błękit duszy.,Sonety X.,2,undirected
Błękit duszy.,Sonety VII.,3,undirected
Błękit duszy.,Nowe życie.,1,undirected
Co mi się marzy?,Sonety X.,2,undirected
Co mi się marzy?,Sonety VII.,3,undirected
Co mi się marzy?,Nowe życie.,1,undirected
Niewymarzona, a cudowna.,Sonety X.,2,undirected
Niewymarzona, a cudowna.,Sonety VII.,3,undirected
Niewymarzona, a cudowna.,Nowe życie.,1,undirected
Do Duchów.,Sonety X.,2,undirected
Do Duchów.,Sonety VII.,3,undirected
Do Duchów.,Nowe życie.,1,undirected
Do Pani D. P.[*],Sonety X.,2,undirected
Do Pani D. P.[*],Sonety VII.,3,undirected
Do Pani D. P.[*],Nowe życie.,1,undirected
Sonety X.,Błękit duszy.,2,undirected
Sonety X.,Co mi się marzy?,2,undirected
Sonety X.,Niewymarzona, a cudowna.,2,undirected
Sonety X.,Do Duchów.,2,undirected
Sonety X.,Do Pani D. P.[*],2,undirected
Sonety X.,Czas i wieczność.,2,undirected
Sonety X.,Postanowienie.,2,undirected
Sonety X.,Miłość ideału.,2,undirected
Sonety X.,Sonety VII.,4,undirected
Sonety X.,Sonety XVI.,1,undirected
Sonety X.,Pożegnanie Italii.,2,undirected
Sonety X.,Boleść rozłączenia.,2,undirected
Sonety X.,Sonety krymskie XV.,1,undirected
Sonety X.,Sonety krymskie IV.,2,undirected
Sonety X.,Sonety XV.,1,undirected
Sonety X.,Sonety XX.,2,undirected
Sonety X.,Sonety III.,1,undirected
Sonety X.,Sonety krymskie V.,1,undirected
Sonety X.,Sonety IV.,2,undirected
Sonety X.,Sonety krymskie II.,5,undirected
Sonety X.,Sonety V.,1,undirected
Sonety X.,Sonety XIII.,1,undirected
Sonety X.,Gdzie cisza?,4,undirected
Sonety X.,Sonety krymskie XIII.,2,undirected
Sonety X.,Sonety VIII.,1,undirected
Sonety X.,Sonety XVIII.,2,undirected
Sonety X.,Sonety XXI.,2,undirected
Czas i wieczność.,Sonety X.,2,undirected
Czas i wieczność.,Sonety VII.,3,undirected
Czas i wieczność.,Nowe życie.,1,undirected
Postanowienie.,Sonety X.,2,undirected
Postanowienie.,Sonety VII.,3,undirected
Postanowienie.,Nowe życie.,1,undirected
Miłość ideału.,Sonety X.,2,undirected
Miłość ideału.,Sonety VII.,3,undirected
Miłość ideału.,Nowe życie.,1,undirected
Sonety VII.,Błękit duszy.,3,undirected
Sonety VII.,Co mi się marzy?,3,undirected
Sonety VII.,Niewymarzona, a cudowna.,3,undirected
Sonety VII.,Do Duchów.,3,undirected
Sonety VII.,Do Pani D. P.[*],3,undirected
Sonety VII.,Sonety X.,4,undirected
Sonety VII.,Czas i wieczność.,3,undirected
Sonety VII.,Postanowienie.,3,undirected
Sonety VII.,Miłość ideału.,3,undirected
Sonety VII.,Sonety XVI.,2,undirected
Sonety VII.,Pożegnanie Italii.,3,undirected
Sonety VII.,Boleść rozłączenia.,3,undirected
Sonety VII.,Sonety krymskie XV.,2,undirected
Sonety VII.,Sonety krymskie IV.,3,undirected
Sonety VII.,Sonety krymskie X.,1,undirected
Sonety VII.,Sonety XV.,2,undirected
Sonety VII.,Sonety XX.,3,undirected
Sonety VII.,Sonety II.,1,undirected
Sonety VII.,Sonety III.,2,undirected
Sonety VII.,Sonety krymskie V.,2,undirected
Sonety VII.,Sonety krymskie XI.,1,undirected
Sonety VII.,Sonety XI.,1,undirected
Sonety VII.,Sonety XIV.,4,undirected
Sonety VII.,Nie wrócę już!,4,undirected
Sonety VII.,Nowe życie.,1,undirected
Sonety VII.,Sonety IV.,3,undirected
Sonety VII.,Sonety krymskie VIII.,1,undirected
